id,join_id,join_geom_buffe,join_obj_cod,join_typ_cod,join_nlevel,join_btf,join_oneway,join_surface,join_splitter,join_speedlim,join_f_rspeed,join_t_rspeed,join_lanewidth,join_f_lanes,join_t_lanes,join_f_sidewalk,join_t_sidewalk,join_f_buslanes,join_t_buslanes,join_multidigit,join_rd_name,join_rd_e_name,join_rd_l_name,join_f_parking,join_t_parking,join_bicyclanes,distance,xcoord_bad,y_coord_bad,NUM_10NOND,10dead_NUM,50dead_Num,50notdead_,Cros_HubName,Cros_HubDist,traf_HubName,traf_HubDist,Stop_HubName,Stop_HubDist,Bump_HubName,Bump_HubDist,x,y
"14","13158426","POLYGON((37.4045571701684 55.8015551874981,37.4045727059487 55.8015547667764,37.4046698138309 55.8015483544123,37.4046749186582 55.8015479516267,37.4047062698617 55.8015450736362,37.4047157054446 55.8015439809559,37.4047597228935 55.8015378210456,37.4047","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000069725037614,6776270.18809,6195282.21065,0,0,0,0,n4224408892,90.112663560770628,n251641803,132.307102862001102,n5241762248,193.514404196278321,"628293601",245.874958175872337,37.40495,55.80082
"34","13300002","POLYGON((37.3812528626459 55.9459849681349,37.3808355212749 55.9462318154203,37.3808253168215 55.9462382747491,37.3806876050884 55.9463313851125,37.3806555658806 55.9463583376986,37.3805889108865 55.9464275541176,37.3805573161438 55.9464706564548,37.3805","0","7701","7","0","0","5","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.001476949318265,6773741.28081,6211859.56364,0,0,0,0,n7894292941,1890.330693059772557,n277515585,3020.793404005986304,n3601322955,1518.293521818608042,"926244678",10080.829960745108110,37.38146,55.95071
"38","11993733","POLYGON((37.5970718887293 55.8952797417308,37.5970770035389 55.8953186135238,37.5970896035796 55.8953557405563,37.5971092046387 55.8953896960573,37.5971350534587 55.8954191751359,37.5971661566837 55.8954430449277,37.5972013190343 55.89546038813,37.597239","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000154384396590,6787615.34667,6206435.72188,0,0,0,0,n2335586659,261.838091280155709,n60656579,457.177628696016200,n6937152846,718.335568713736620,"19700090",392.570421567224400,37.59708,55.89406
"39","16678467","POLYGON((37.3671704790683 55.9569315159325,37.3697757050616 55.9557665221557,37.3717243809951 55.9550222933932,37.3717816550928 55.9550036122215,37.3723439121517 55.9548198952936,37.3729072904824 55.9546434934748,37.3737085519105 55.9544465641836,37.3741","1222810","7700","1","0","1","2","0","130","75","0","0","6","0","0","0","0","0","1",М11,,М11,"0","0","0",0.001117903046198,6772969.50181,6212229.06387,0,0,0,0,n6218368334,1620.980668955605552,n277515585,3494.458159798611632,n3601322961,1179.230327981025539,"19645465",10860.083381485539576,37.36952,55.95445
"55","12259385","POLYGON((37.4845987308151 55.8768535989325,37.4845758889433 55.8768854646893,37.4845597026724 55.8769211743827,37.4845507940317 55.8769593557092,37.4845495053754 55.8769985413817,37.4845558862257 55.8770372255169,37.4845696913701 55.8770739215052,37.4845","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000015036580650,6780725.35151,6204066.35181,0,0,0,0,n3961161546,183.440219604881349,n8418415186,467.053293231106807,n1250339208,178.615951957305100,"1711838",1679.155948375098205,37.48484,55.87691
"64","13386874","POLYGON((37.3789807029525 55.8461839388288,37.3789899884756 55.8461917134877,37.3789919924632 55.8461936715519,37.3774500011954 55.8472239437772,37.3774196932903 55.8472488156178,37.3773948199985 55.847279122332,37.3773763371866 55.8473136992496,37.37736","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000220126800263,6774307.01855,6200296.29417,0,0,0,0,n2788329901,125.232829187397712,n617193952,197.260095565937377,n7490588102,113.666007249340680,"1079261824",901.359020755214374,37.37879,55.84683
"75","13299776","POLYGON((37.4157969268843 55.9493798691946,37.4160574763041 55.9493799188843,37.4162393334598 55.949379918888,37.41625374856 55.9493793987237,37.416364421003 55.9493714011517,37.4163966854442 55.9493663975881,37.4165213716056 55.9493364695523,37.41655220","0","7702","7","0","0","2","0","20","5","5","0","1","1","5","5","0","0","0",,,,"4","4","0",0.000426160568108,6775889.29175,6211873.63660,0,0,0,0,n3036964695,273.764733941774296,n332650947,3952.364654956117192,n5879865610,273.927350600896034,"926244678",7968.531008635533908,37.41576,55.94961
"78","9126061","POLYGON((37.3515516775748 55.9451354269936,37.3521804521911 55.9448029163573,37.3521847496669 55.9448005760335,37.3530945128232 55.9442906081075,37.3532675660173 55.944194901835,37.35329985042 55.9441726556014,37.3533271744621 55.9441445384484,37.3533484","1002672","7700","6","0","0","2","0","60","25","25","0","1","1","5","5","0","0","0",1-я Подрезковская ул.,,,"0","0","0",0.000391244825624,6771967.02382,6211005.81935,0,0,0,0,n7894292940,405.420582007279165,n277515585,2440.559813908121214,n3601322960,574.473395010922104,"19645465",9932.887619371453184,37.35228,55.94407
"89","12115154","POLYGON((37.5865432391482 55.8447718395691,37.5865043694357 55.8447769701647,37.5864672475233 55.8447895852821,37.5864332999853 55.8448092001294,37.5864038314066 55.8448350609191,37.5863799742482 55.8448661738354,37.5863626453273 55.8449013432264,37.5863","0","7701","7","0","0","2","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000069617919876,6787334.53693,6200940.38164,0,0,0,0,n4959159566,71.682986739924189,n4704547573,92.651490131575599,n6937152852,288.400018969130997,"19645460",1898.494374792943290,37.58679,55.84503
"104","13387315","POLYGON((37.3629973068964 55.8383383137401,37.3629896091947 55.838338744513,37.3628925013125 55.8383460587217,37.3628850783935 55.8383467571818,37.3627890484896 55.8383576023853,37.3627816481704 55.8383585783239,37.362687055571 55.8383728536336,37.362680","0","7701","7","0","0","7","0","20","5","5","0","0","0","5","5","0","0","0",,,,"0","1","0",0.000016132556245,6773353.96836,6199313.27494,0,0,0,0,n980803277,113.971795314694049,n251781700,650.599156349920463,n7321890953,102.240098139660020,"1711984",270.141470928501633,37.36263,55.83857
