Дата,Время,Место,Улица,Дом,Адрес,Дорог,Килом,Метр,Full Addre,Latitude,Longitude,Погиб,Поги_1,Ранен,Ране_1,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,join_snowp,join_descr,join_smoot,join_troll,join_width,DTP_ID,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_Targe,bump_Dista
10.11.2020,20:00,"Новгородская область, Великий Новгород",Псковская ул,30а,,,,,"Новгородская область, Великий Новгород Псковская ул 30а",58.5162949000,31.2454744000,"0","0","0","0",way/31376760,way/31376760,,tertiary,,,"2",,,,,,,,,,,"1",node/5692729051,45.246447604462560,node/376294300,255.353732052323352,node/377612234,74.437234977278607,node/7765694937,856.916985809443645
10.11.2020,18:30,"Новгородская область, Великий Новгород",Большая Санкт-Петербургская ул,"13",,,,,"Новгородская область, Великий Новгород Большая Санкт-Петербургская ул 13",58.5295960000,31.2707120000,"0","0","0","0",way/643407489,way/643407489,,primary,asphalt,,"4",RU:urban,,,,Большая Санкт-Петербургская улица,,,,yes,,"2",node/490556148,82.835714967943829,node/177576304,102.724189167539748,node/422675617,139.717933685984150,node/299480496,280.692136860730898
10.11.2020,15:05,"Новгородская область, Солецкий район, Сольцы",Новгородская ул,"38",,Великий Новгород - Сольцы - Порхов - Псков,"73","500","Новгородская область, Солецкий район, Сольцы Новгородская ул 38 Великий Новгород - Сольцы - Порхов - Псков 73 500",58.5255698000,31.2741929000,"0","0","0","0",way/343394383,way/343394383,,primary,asphalt,,"4",,,,,Большая Санкт-Петербургская улица,,,,yes,,"3",node/4990972812,197.091420383545085,node/929986794,20.643818708429631,node/282529583,127.917172599045770,node/299480496,432.236438264066237
10.11.2020,14:50,"Новгородская область, Великий Новгород",Московская ул,34к1,,,,,"Новгородская область, Великий Новгород Московская ул 34к1",58.5330864000,31.3071010000,"0","0","0","0",way/172900774,way/172900774,,secondary,asphalt,,"2",,,,,Московская улица,,,,,,"4",node/4609028507,2.319928593107393,node/1833031548,990.549851051705446,node/525298735,58.805489664404476,node/3941904154,1128.814895249603978
10.11.2020,13:50,"Новгородская область, Великий Новгород",Псковская ул,31/1,,,,,"Новгородская область, Великий Новгород Псковская ул Thu Jan 30 2020 22:00:00 GMT+0100 (CET)",58.5120260000,31.2389508000,"0","0","0","0",way/654989653,way/654989653,,primary,asphalt,,"2","60",,,Р-56,Псковская улица,,,,,,"5",node/6734742613,69.498471542774155,node/376294300,390.521715534748523,node/377612243,26.936703763003454,node/7765694939,495.381920886374076
10.11.2020,11:05,"Новгородская область, Великий Новгород",Сырковское ш,"27",,,,,"Новгородская область, Великий Новгород Сырковское ш 27",58.5518639000,31.2409175000,"0","0","0","0",way/175881820,way/175881820,,primary,asphalt,,"4",,,,,Сырковское шоссе,,,,,,"6",node/5380349567,199.248442764883748,node/1864401763,701.383581953476209,node/893969479,669.572554552592692,node/6340965220,1020.555838510064746
10.11.2020,10:35,"Новгородская область, Батецкий район",,,,Великий Новгород - Луга,"30","300","Новгородская область, Батецкий район   Великий Новгород - Луга 30 300",58.5143672000,31.2573960000,"0","0","0","0",way/306390141,way/306390141,,tertiary,,,"2",,,,,Орловская улица,,,,,,"7",node/3589439371,153.660512617078211,node/256640,831.282988786181477,node/4744476471,190.692139490204539,node/4744460853,758.459214925379911
10.11.2020,10:25,"Новгородская область, Новгородский район",,,,Великий Новгород - Луга,"16","100","Новгородская область, Новгородский район   Великий Новгород - Луга 16 100",58.5143672000,31.2573960000,"0","0","3","0",way/306390141,way/306390141,,tertiary,,,"2",,,,,Орловская улица,,,,,,"8",node/3589439371,153.660512617078211,node/256640,831.282988786181477,node/4744476471,190.692139490204539,node/4744460853,758.459214925379911
10.11.2020,10:05,"Новгородская область, Великий Новгород",Мира пр-кт,"28",,,,,"Новгородская область, Великий Новгород Мира пр-кт 28",58.5349143000,31.2316206000,"0","0","0","0",way/199408947,way/199408947,,primary,asphalt,,"4",,,,,проспект Мира,,,,yes,,"9",node/5594305671,116.781576611895190,node/277429420,45.801808621445474,node/893968215,17.143623736560603,node/18485108,389.409863751120156
10.11.2020,10:00,"Новгородская область, Великий Новгород",Великая ул,7А,,,,,"Новгородская область, Великий Новгород Великая ул 7А",58.5280874000,31.2788489000,"0","0","0","0",way/81057911,way/81057911,,tertiary,,,"2",,,yes,,Яковлева улица,,,,,,"10",node/4609075397,202.023403779535755,node/300555665,363.679134147992784,node/286533595,398.255232543342629,node/1319831809,77.716479684821863
