ID,join_id,join_@id,join_area,join_highw,join_surfa,join_int_r,join_lanes,join_maxsp,join_max_1,join_onewa,join_ref,join_name,NUM_10NOND,NUM_10DEAT,Num_50Deat,Num_50NonD,ID_id,Crossing_T,Crossing_D,Traf_light,Traf_lig_1,stops_Targ,stops_Dist,bump_TargetID,bump_Distance
"0",way/41722818,way/41722818,,tertiary,,,"2",,,,,Керамическая улица,"0","0","0","0","0",node/4570994749,1030.274095786970747,node/230461929,861.205243613758626,node/4570994750,1382.292449351022697,node/2355856384,1495.13175793313
"1",way/38522847,way/38522847,,unclassified,,,,"40",,,,,"0","0","0","0","1",node/5678275733,4348.486209848885665,node/177601891,8500.631060701236493,node/6010350323,5970.433150905854745,node/455885382,523.624740574105
"2",way/654169015,way/654169015,,primary,asphalt,,"2",,,yes,,улица Державина,"0","0","0","0","2",node/7462162478,333.159302522052883,node/479789030,578.216225885844779,node/313454217,812.484962677729300,node/287866254,2111.8476122037
"3",way/172394142,way/172394142,,primary,asphalt,,"2",,,yes,,улица Державина,"0","0","0","5","3",node/7462162480,47.405134323202354,node/2206310654,179.364951662196745,node/313454217,276.354596140885405,node/1570949864,1699.00111828354
"4",way/175995458,way/175995458,,tertiary,,,"2",,,,,Студенческая улица,"0","0","0","0","4",node/5267706312,479.340630951977687,node/1864659869,487.424364649681877,node/525298753,534.840206986243743,node/287866254,1057.97645334424
"5",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","5",node/3941682237,553.942954174836359,node/1982059585,1711.860038353682057,node/525298735,768.949478567328811,node/3941904154,677.33677287822
"6",way/36836894,way/36836894,,unclassified,,,,,,,,,"0","0","0","0","6",node/6724059950,520.331714011462054,node/246262,1362.197667020445124,node/525298698,541.926456868098171,node/3673045106,1106.29999542097
"7",way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,"0","0","0","0","7",node/4773038317,4234.324301495608779,node/7463852740,6222.475659394269314,node/2849847592,4206.599381743715639,node/1578386259,693.492001527753
"8",way/31371872,way/31371872,,secondary,asphalt,,"4",,,,,Великая улица,"0","0","0","0","8",node/280225592,32.251078640000109,node/15500382,429.531418743989377,node/455878384,200.546152613858624,node/3940315867,186.724434478958
"9",way/31374763,way/31374763,,primary,asphalt,,,"90",,,49А-04,,"0","0","0","0","9",node/5678275733,999.327437352911829,node/177601891,4374.551073227317829,node/267426824,4027.306994022309027,node/6340965220,3028.81817879333
"10",way/367750176,way/367750176,,secondary,asphalt,,,,,,,Армейская улица,"0","0","0","1","10",node/4773038317,4252.594252039833918,node/7463852740,6280.356940851450418,node/2849847592,4223.471062334884664,node/1578386259,764.81717729479
"11",way/230114113,way/230114113,,unclassified,,,,,,,,,"0","0","0","0","11",node/7429024597,1549.213499490375398,node/7463852740,2103.436853820905071,node/2355865875,1258.808754192166361,node/2355870389,1451.58285996477
"12",way/108497261,way/108497261,,unclassified,,,,,,,,,"0","0","0","0","12",node/4570994749,3573.567285819480730,node/230461929,3962.050984883982437,node/6010350323,4336.437012877546294,node/455885362,2508.14931088632
"13",way/186615133,way/186615133,,unclassified,,,,,,,,,"0","0","0","0","13",node/3941682237,316.696895744406902,node/293139220,1091.218899769942027,node/525298735,643.280358250913082,node/3941904154,485.545423308962
"14",way/391011109,way/391011109,,secondary,asphalt,,"2",RU:urban,,,,Московская улица,"0","0","0","0","14",node/3941682237,432.685180713933278,node/293139220,1310.090576643278837,node/525298735,780.933472226452864,node/3941904154,290.866142364943
"15",way/219874164,way/219874164,,secondary,asphalt,,"2",,,yes,,Юрьевское шоссе,"0","0","0","0","15",node/286825337,346.416760425197879,node/1143738665,3423.282908114010297,node/5996483888,1177.313381906603581,node/4744460853,2483.79927748863
"16",way/226853376,way/226853376,,tertiary,,,,"60",,,,Береговая улица,"0","0","0","0","16",node/6517705022,351.321940449246313,node/2475693877,663.452414557552061,node/1572585952,831.102939898647833,node/2355856384,32.6848782864836
"17",way/481522310,way/481522310,,secondary,asphalt,,"2","40",,yes,,Троицкая улица,"0","0","0","0","17",node/4744460861,13.683429124010726,node/1143738665,951.002494643136629,node/4744460860,24.755835068667285,node/4744460853,5.98315846245715
"18",way/172396360,way/172396360,,primary,asphalt,,"3",RU:urban,,yes,,улица Державина,"0","0","0","2","18",node/5273143682,74.465555015406792,node/293139220,152.916558729591713,node/892890934,455.380058865866317,node/3941904154,1327.5336757348
"19",way/238058632,way/238058632,,secondary,asphalt,,"2","40",,yes,,улица Ломоносова,"0","0","0","0","19",node/2195201477,100.682899104048687,node/286749694,385.279899959283853,node/299374451,168.768230021186071,node/6418406602,88.1774647599851
"20",way/173171791,way/173171791,,primary,asphalt,,"2",RU:urban,,,,,"0","0","0","0","20",node/929929863,229.379742981351512,node/181321086,813.752190793658315,node/525298704,836.157272743413728,node/1319831809,1457.50944871117
"21",way/25178719,way/25178719,,secondary,asphalt,,"2","40",,yes,,Мерецкова-Волосова улица,"0","0","0","0","21",node/2203082867,270.274504051553663,node/1143738665,588.037728446191750,node/4744460860,408.979160846382854,node/2322289616,35.1577533334901
"22",way/120926423,way/120926423,,secondary,asphalt,,"4","50",,,,улица Кочетова,"0","0","0","0","22",node/6305118651,27.372156970406838,node/273126781,39.967548104724834,node/415706220,71.605620001338480,node/299484489,50.2745500141808
